W W W W W W W W W W W W W W W W W W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 G 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W W W W W W W W W W W W W W W W W W
2 2
