W W W W W W W W W W W W W W W W W W W W W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 W W W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 W 0 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 W 0 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W 0 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W 0 9 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W 0 G 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W 0 0 0 W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 W W W W W 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W W W W W W W W W W W W W W W W W W W W W
2 1.5
