W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 G 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 W
W W W W W 0 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 6 4 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 W 0 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 4 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
2 14
