W W W W W W W W W W W W W W W W W 0 W 0 0 0 W 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 W 0 0 0 W 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 W W W W W 0
W 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 W 0 W 0 0 0 W 0
W 0 0 0 0 0 W 0 0 0 W 0 0 0 0 0 W 0 W 0 0 0 W 0
W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W 0 W 0 0 0 W 0
W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W 0 0 0 0 0 0 0
W 0 0 0 0 0 0 W 4 W 0 0 0 0 0 0 W 0 W W W W W 0
W 0 0 0 0 0 0 W 8 W 0 0 0 0 0 0 W 0 0 0 W 0 0 0
W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W 0 0 0 W 0 0 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 W 0 0 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 W W W W W 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0
W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0
W W W W W W W W 0 W W W W W W W W W W W W W W W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 W 0 0 0 W 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 W 4 W 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 W 8 W 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 W 0 W 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 W
0 0 0 0 0 0 0 W W W W W W W W 0 W W W W W W W W
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 W W W W W W W
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 W W W W W W
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 4 3 3 3 3 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W 0 0 0 0 0 0 0 0 G
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W W 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 W W W W W W W W W W
2 1.5
